"","MM","GS","group"
"CHMP3",0.604242948515111,0.0872660165005318,FALSE
"CHPT1",0.7046159341244,0.209300636832241,TRUE
"CHST13",0.381998975523493,0.00921621856968603,FALSE
"CLDN14",0.641195456427343,0.177715949352108,TRUE
"CLPX",0.646235972375289,0.215304760030851,TRUE
"CLYBL",0.649947060108664,0.241502580428664,TRUE
"CMBL",0.708188156025061,0.159068329895537,TRUE
"CMTM8",0.566813149408292,0.0139393913385426,FALSE
"CNGA1",0.460258993702298,0.147581079686588,FALSE
"COBLL1",0.624532214634061,0.227226276090867,TRUE
"COL18A1",0.633399015695703,0.291639928530471,TRUE
"COL9A2",0.61964650468899,0.24753620219706,TRUE
"COQ10A",0.616861314450528,0.139704397291346,FALSE
"CP",0.530049639365643,0.0956582853716613,FALSE
"CPB2",0.826263997840456,0.173972453183608,TRUE
"CPN1",0.599267855455879,0.0516173701258116,FALSE
"CPN2",0.849379022189174,0.20115278382151,TRUE
"CPS1",0.636570219027757,0.163025071107489,TRUE
"CPT2",0.663325501682032,0.305104318336493,TRUE
"CRADD",0.696154559506734,0.224120607316384,TRUE
"CRAT",0.681529891857549,0.283776664728343,TRUE
"CREB3L3",0.595484172410553,0.109190639843664,FALSE
"CRY2",0.623744803167676,0.213876279290342,TRUE
"CRYL1",0.79235951866011,0.226883957443606,TRUE
"CTH",0.691646902358761,0.238330664362782,TRUE
"CTSF",0.575824324153436,0.25381996644445,FALSE
"CTXN1",0.587058015013392,0.0954580901198616,FALSE
"CUX2",0.602057051700527,0.176973013589603,TRUE
"CYB5A",0.882473807259155,0.278571136950976,TRUE
"CYP1A2",0.524065484426885,0.220353934534273,FALSE
"CYP27A1",0.760891535391497,0.184471937169928,TRUE
"CYP2A13",0.529187085136251,0.196245847502607,FALSE
"CYP2A6",0.715486390935626,0.324252754908858,TRUE
"CYP2A7",0.612561438482475,0.246046533618896,TRUE
"CYP2B6",0.709912925451917,0.187170877723824,TRUE
"CYP2C8",0.666909565072744,0.271493718387242,TRUE
"CYP2C9",0.688481083478636,0.215215913479387,TRUE
"CYP2D6",0.70789472053331,0.0604026998950869,FALSE
"CYP2J2",0.798006621180379,0.214178751402654,TRUE
"CYP3A4",0.62462270696493,0.21940438487362,TRUE
"CYP3A43",0.598044785248714,0.171650383563324,FALSE
"CYP3A5",0.550705704955565,0.131272027089797,FALSE
"CYP4A11",0.764970078129297,0.255206824260471,TRUE
"CYP4A22",0.798257688832513,0.274364507666836,TRUE
"CYP4F11",0.722386379131927,0.193530689928233,TRUE
"CYP4F12",0.660048953606266,0.161460258043197,TRUE
"CYP4F2",0.808012412137325,0.317102576899839,TRUE
"CYP4F3",0.846629584753998,0.217528923853,TRUE
"CYP7A1",0.651400662528343,0.161622370812254,TRUE
"CYP8B1",0.812286363315293,0.299472473865822,TRUE
"DAO",0.862516211487572,0.243369434388017,TRUE
"DBH.AS1",0.596518725816402,0.138070564904028,FALSE
"DBN1",0.682814665105885,0.220553562349682,TRUE
"DCAF11",0.726706845515727,0.215717030187142,TRUE
"DCXR",0.803399590955684,0.244473580922392,TRUE
"DCXR.DT",0.726776672906272,0.166144087844237,TRUE
"DDC",0.53438167811421,0.0266330117392643,FALSE
"DEPDC7",0.810679353720506,0.204707102498967,TRUE
"DGAT2",0.615853606184399,0.135823478349394,FALSE
"DHCR24",0.593192765306808,0.072683566565719,FALSE
"DHRS1",0.703162237539046,0.215285985639935,TRUE
"DHRS3",0.694792305643362,0.151656955689356,TRUE
"DHRS4",0.645259731115136,0.122527303446047,FALSE
"DHTKD1",0.79512894473748,0.224276346788832,TRUE
"DIAPH1",0.618881356569845,0.107505950122502,FALSE
"DIO1",0.67707313128898,0.177952308807962,TRUE
"DMGDH",0.861048718485329,0.245054223921937,TRUE
"DNAJC25",0.633622345798257,0.256333604347815,TRUE
"DPP4",0.551109091369139,0.144421737910951,FALSE
"DPYS",0.786280050249376,0.201308175671245,TRUE
"DRP2",0.638327794428743,0.217469548353538,TRUE
"DSG1",0.665692935604618,0.202590430628367,TRUE
"DZIP1L",0.656743764167619,0.176819704937087,TRUE
"ECHDC2",0.765419394319903,0.296636648898807,TRUE
"ECHS1",0.72491615845948,0.294243078874132,TRUE
"ECI2",0.741702351903451,0.158482266330578,TRUE
"ECM2",0.615432091686259,0.288735037559965,TRUE
"EHHADH",0.852351653403045,0.243115359647652,TRUE
"ELL2",0.608023513806572,0.080729752907099,FALSE
"ENO2",0.673099644913394,0.125000544661991,FALSE
"ENPEP",0.590639677358959,0.290737955286104,FALSE
"ENPP7",0.699070857965863,0.0831858293444145,FALSE
"ENTPD5",0.633418285530964,0.200661386468416,TRUE
"EPHX1",0.762776598711867,0.207384906976168,TRUE
"EPHX2",0.766799228733575,0.256720215902501,TRUE
"ESPN",0.726441497552816,0.209135337598397,TRUE
"ESRP2",0.496953723096438,0.103391013964644,FALSE
"ETFBKMT",0.715186660373898,0.247996926683093,TRUE
"ETFDH",0.667232598892368,0.36799904277408,TRUE
